股票代號,股票名稱,年度,除息日,每單位配發金額(元),收益分配基準日,發放月份_x,分類標籤,發放月份_y,收盤價
00841B,凱基AAA-AA公司債,2024,2024/8/16,0.34,2024/8/24,3,季配息,"3, 6, 9, 12",32.37
00841B,凱基AAA-AA公司債,2024,2024/5/17,0.32,2024/5/25,1,不定期,"1, 2, 5, 8, 11, 12",32.37
00841B,凱基AAA-AA公司債,2024,2024/2/27,0.34,2024/3/5,12,不定期,"1, 2, 5, 8, 11, 12",32.37
00842B,台新美元銀行債,2024,2025/1/16,0.5,2025/1/22,11,不定期,"1, 2, 5, 8, 11, 12",32.37
00842B,台新美元銀行債,2024,2024/10/21,0.44,2024/10/27,8,不定期,"1, 2, 5, 8, 11, 12",32.37
00842B,台新美元銀行債,2024,2024/7/16,0.45,2024/7/22,5,不定期,"1, 2, 5, 8, 11, 12",31.88
00842B,台新美元銀行債,2024,2024/4/17,0.45,2024/4/23,2,不定期,"1, 2, 5, 8, 11, 12",31.88
00844B,新光15年IG金融債,2024,2024/11/20,0.57,2024/11/26,11,季配息,"2, 5, 8, 11",31.88
00844B,新光15年IG金融債,2024,2024/8/20,0.5,2024/8/26,8,季配息,"2, 5, 8, 11",31.88
00844B,新光15年IG金融債,2024,2024/5/21,0.32,2024/5/27,5,季配息,"2, 5, 8, 11",33.8
00844B,新光15年IG金融債,2024,2024/3/1,0.36,2024/3/9,2,季配息,"2, 5, 8, 11",33.8
00845B,富邦新興投等債,2024,2024/11/18,0.371,2024/11/24,1,季配息,"1, 4, 7, 10",33.8
00845B,富邦新興投等債,2024,2024/8/16,0.385,2024/8/24,10,季配息,"1, 4, 7, 10",33.8
00845B,富邦新興投等債,2024,2024/5/17,0.382,2024/5/25,7,季配息,"1, 4, 7, 10",33.48
00845B,富邦新興投等債,2024,2024/2/27,0.36,2024/3/5,4,季配息,"1, 4, 7, 10",33.48
00846B,富邦歐洲銀行債,2024,2024/11/18,0.449,2024/11/24,11,不定期,"3, 5, 8, 11",33.48
00846B,富邦歐洲銀行債,2024,2024/8/16,0.463,2024/8/24,8,不定期,"3, 5, 8, 11",33.48
00846B,富邦歐洲銀行債,2024,2024/5/17,0.411,2024/5/25,5,不定期,"3, 5, 8, 11",34.17
00846B,富邦歐洲銀行債,2024,2024/2/27,0.395,2024/3/5,3,不定期,"3, 5, 8, 11",34.17
00847B,中信美國市政債,2024,2024/11/18,0.28,2024/11/24,11,季配息,"2, 5, 8, 11",34.17
00847B,中信美國市政債,2024,2024/8/16,0.292,2024/8/24,8,季配息,"2, 5, 8, 11",34.17
00847B,中信美國市政債,2024,2024/5/17,0.285,2024/5/25,5,季配息,"2, 5, 8, 11",37.01
00847B,中信美國市政債,2024,2024/2/27,0.283,2024/3/5,2,季配息,"2, 5, 8, 11",37.01
00848B,中信新興亞洲債,2024,2025/1/17,0.45,2025/1/25,11,季配息,"2, 5, 8, 11",37.01
00848B,中信新興亞洲債,2024,2024/10/17,0.45,2024/10/23,8,季配息,"2, 5, 8, 11",37.01
00848B,中信新興亞洲債,2024,2024/7/16,0.45,2024/7/22,5,季配息,"2, 5, 8, 11",28.02
00848B,中信新興亞洲債,2024,2024/4/18,0.4,2024/4/24,2,季配息,"2, 5, 8, 11",28.02
00849B,中信EM主權債0-5,2024,2025/1/17,0.33,2025/1/25,11,季配息,"2, 5, 8, 11",28.02
00849B,中信EM主權債0-5,2024,2024/10/17,0.33,2024/10/23,8,季配息,"2, 5, 8, 11",28.02
00849B,中信EM主權債0-5,2024,2024/7/16,0.33,2024/7/22,5,季配息,"2, 5, 8, 11",35.97
00849B,中信EM主權債0-5,2024,2024/4/18,0.45,2024/4/24,2,季配息,"2, 5, 8, 11",35.97
850,元大臺灣ESG永續,2024,2024/11/18,0.65,2024/11/24,1,季配息,"1, 4, 7, 10",35.97
850,元大臺灣ESG永續,2024,2024/8/16,0.62,2024/8/24,10,季配息,"1, 4, 7, 10",35.97
850,元大臺灣ESG永續,2024,2024/5/17,0.54,2024/5/25,7,季配息,"1, 4, 7, 10",38.39
850,元大臺灣ESG永續,2024,2024/2/27,0.43,2024/3/5,4,季配息,"1, 4, 7, 10",38.39
00853B,統一美債10年Aa-A,2024,2024/12/17,0.33,2024/12/23,1,季配息,"1, 4, 7, 10",38.39
00853B,統一美債10年Aa-A,2024,2024/9/20,0.33,2024/9/28,10,季配息,"1, 4, 7, 10",38.39
00853B,統一美債10年Aa-A,2024,2024/6/21,0.33,2024/6/29,7,季配息,"1, 4, 7, 10",45.21
00853B,統一美債10年Aa-A,2024,2024/3/19,0.34,2024/3/25,4,季配息,"1, 4, 7, 10",45.21
00856B,永豐1-3年美公債,2024,2024/12/24,0.42,2024/12/30,11,季配息,"2, 5, 8, 11",45.21
00856B,永豐1-3年美公債,2024,2024/9/20,0.43,2024/9/28,8,季配息,"2, 5, 8, 11",45.21
00856B,永豐1-3年美公債,2024,2024/6/25,0.45,2024/7/1,5,季配息,"2, 5, 8, 11",29.87
00856B,永豐1-3年美公債,2024,2024/3/21,0.419,2024/3/27,2,季配息,"2, 5, 8, 11",29.87
00857B,永豐20年美公債,2024,2024/12/24,0.31,2024/12/30,12,季配息,"3, 6, 9, 12",29.87
00857B,永豐20年美公債,2024,2024/9/20,0.3,2024/9/28,9,季配息,"3, 6, 9, 12",29.87
00857B,永豐20年美公債,2024,2024/6/25,0.21,2024/7/1,6,季配息,"3, 6, 9, 12",39.58
00857B,永豐20年美公債,2024,2024/3/21,0.351,2024/3/27,3,季配息,"3, 6, 9, 12",39.58
858,永豐美國500大,2024,2025/1/22,1.9,2025/1/28,12,季配息,"3, 6, 9, 12",39.58
858,永豐美國500大,2024,2024/7/26,1.7,2024/7/31,9,季配息,"3, 6, 9, 12",39.58
00859B,群益0-1年美債,2024,2024/12/20,0.373,2024/12/28,6,季配息,"3, 6, 9, 12",25.77
00859B,群益0-1年美債,2024,2024/9/23,0.369,2024/9/29,3,季配息,"3, 6, 9, 12",25.77
00859B,群益0-1年美債,2024,2024/6/24,0.375,2024/6/30,12,季配息,"3, 6, 9, 12",25.77
00859B,群益0-1年美債,2024,2024/3/18,0.362,2024/3/24,9,季配息,"3, 6, 9, 12",25.77
00860B,群益1-5Y投資級債,2024,2024/11/21,0.479,2024/11/27,6,季配息,"3, 6, 9, 12",32.18
00860B,群益1-5Y投資級債,2024,2024/8/21,0.505,2024/8/27,3,季配息,"3, 6, 9, 12",32.18
00860B,群益1-5Y投資級債,2024,2024/5/17,0.556,2024/5/25,1,半年配,"1, 7",43.41
00860B,群益1-5Y投資級債,2024,2024/2/27,0.488,2024/3/5,7,半年配,"1, 7",43.41
00862B,中信投資級公司債,2024,2024/12/17,0.41,2024/12/23,12,季配息,"3, 6, 9, 12",43.41
00862B,中信投資級公司債,2024,2024/9/18,0.5,2024/9/24,9,季配息,"3, 6, 9, 12",43.41
00862B,中信投資級公司債,2024,2024/6/20,0.428,2024/6/26,6,季配息,"3, 6, 9, 12",39.53
00862B,中信投資級公司債,2024,2024/3/18,0.326,2024/3/24,3,季配息,"3, 6, 9, 12",39.53
00863B,中信全球電信債,2024,2024/12/17,0.45,2024/12/23,11,季配息,"2, 5, 8, 11",39.53
00863B,中信全球電信債,2024,2024/9/18,0.42,2024/9/24,8,季配息,"2, 5, 8, 11",39.53
00863B,中信全球電信債,2024,2024/6/20,0.4,2024/6/26,5,季配息,"2, 5, 8, 11",34.31
00863B,中信全球電信債,2024,2024/3/18,0.36,2024/3/24,2,季配息,"2, 5, 8, 11",34.31
00867B,新光A-BBB電信債,2024,2024/11/20,0.43,2024/11/26,12,季配息,"3, 6, 9, 12",34.31
00867B,新光A-BBB電信債,2024,2024/8/20,0.43,2024/8/26,9,季配息,"3, 6, 9, 12",34.31
00867B,新光A-BBB電信債,2024,2024/5/21,0.32,2024/5/27,6,季配息,"3, 6, 9, 12",34.87
00867B,新光A-BBB電信債,2024,2024/3/1,0.32,2024/3/9,3,季配息,"3, 6, 9, 12",34.87
00870B,元大15年EM主權債,2024,2025/1/17,0.4,2025/1/25,12,季配息,"3, 6, 9, 12",34.87
00870B,元大15年EM主權債,2024,2024/10/17,0.38,2024/10/23,9,季配息,"3, 6, 9, 12",34.87
00870B,元大15年EM主權債,2024,2024/7/16,0.4,2024/7/22,6,季配息,"3, 6, 9, 12",33.78
00870B,元大15年EM主權債,2024,2024/4/18,0.4,2024/4/24,3,季配息,"3, 6, 9, 12",33.78
878,國泰永續高股息,2024,2024/11/18,0.55,2024/11/24,11,不定期,"3, 5, 8, 11",33.78
878,國泰永續高股息,2024,2024/8/16,0.55,2024/8/24,8,不定期,"3, 5, 8, 11",33.78
878,國泰永續高股息,2024,2024/5/17,0.51,2024/5/25,5,不定期,"3, 5, 8, 11",29.94
878,國泰永續高股息,2024,2024/2/27,0.4,2024/3/5,3,不定期,"3, 5, 8, 11",29.94
881,國泰台灣5G+,2024,2025/1/17,0.75,2025/1/25,1,季配息,"1, 4, 7, 10",29.94
881,國泰台灣5G+,2024,2024/8/16,1,2024/8/24,10,季配息,"1, 4, 7, 10",29.94
882,中信中國高股息,2024,2025/1/17,0.53,2025/1/25,7,季配息,"1, 4, 7, 10",22.4
882,中信中國高股息,2024,2024/7/16,0.4,2024/7/22,4,季配息,"1, 4, 7, 10",22.4
00883B,中信ESG投資級債,2024,2025/1/17,0.17,2025/1/25,11,季配息,"2, 5, 8, 11",22.4
00883B,中信ESG投資級債,2024,2024/12/17,0.148,2024/12/23,8,季配息,"2, 5, 8, 11",22.4
00883B,中信ESG投資級債,2024,2024/11/18,0.145,2024/11/24,5,季配息,"2, 5, 8, 11",23.81
00883B,中信ESG投資級債,2024,2024/10/17,0.145,2024/10/23,2,季配息,"2, 5, 8, 11",23.81
00883B,中信ESG投資級債,2024,2024/9/18,0.15,2024/9/24,1,半年配,"1, 8",13.25
00883B,中信ESG投資級債,2024,2024/8/16,0.175,2024/8/24,8,半年配,"1, 8",13.25
00883B,中信ESG投資級債,2024,2024/6/20,0.383,2024/6/26,1,半年配,"1, 7",33.21
00883B,中信ESG投資級債,2024,2024/3/18,0.346,2024/3/24,7,半年配,"1, 7",33.21
00884B,中信低碳新興債,2024,2025/1/17,0.475,2025/1/25,1,不定期,"1, 3, 6, 8, 9, 10, 11, 12",33.21
00884B,中信低碳新興債,2024,2024/10/17,0.3,2024/10/23,12,不定期,"1, 3, 6, 8, 9, 10, 11, 12",33.21
00884B,中信低碳新興債,2024,2024/7/16,0.3,2024/7/22,11,不定期,"1, 3, 6, 8, 9, 10, 11, 12",33.21
00884B,中信低碳新興債,2024,2024/4/18,0.18,2024/4/24,10,不定期,"1, 3, 6, 8, 9, 10, 11, 12",33.21
888,永豐台灣ESG,2024,2025/1/22,0.22,2025/1/28,9,不定期,"1, 3, 6, 8, 9, 10, 11, 12",33.21
888,永豐台灣ESG,2024,2024/10/24,0.188,2024/10/30,8,不定期,"1, 3, 6, 8, 9, 10, 11, 12",33.21
888,永豐台灣ESG,2024,2024/7/26,0.133,2024/7/31,6,不定期,"1, 3, 6, 8, 9, 10, 11, 12",31.05
888,永豐台灣ESG,2024,2024/4/22,0.188,2024/4/28,3,不定期,"1, 3, 6, 8, 9, 10, 11, 12",31.05
00890B,凱基ESG BBB 債 15+,2024,2025/1/17,0.17,2025/1/25,1,季配息,"1, 4, 7, 10",31.05
00890B,凱基ESG BBB 債 15+,2024,2024/12/17,0.17,2024/12/23,10,季配息,"1, 4, 7, 10",31.05
00890B,凱基ESG BBB 債 15+,2024,2024/11/18,0.43,2024/11/24,7,季配息,"1, 4, 7, 10",16.5
00890B,凱基ESG BBB 債 15+,2024,2024/5/17,0.435,2024/5/25,4,季配息,"1, 4, 7, 10",16.5
00890B,凱基ESG BBB 債 15+,2024,2024/2/27,0.4,2024/3/5,1,季配息,"1, 4, 7, 10",16.5
00890B,凱基ESG BBB 債 15+,2024,2024/8/16,0.455,2024/8/24,10,季配息,"1, 4, 7, 10",16.5
891,中信關鍵半導體,2024,2024/11/18,0.49,2024/11/24,7,季配息,"1, 4, 7, 10",34.97
891,中信關鍵半導體,2024,2024/8/16,0.41,2024/8/24,4,季配息,"1, 4, 7, 10",34.97
891,中信關鍵半導體,2024,2024/5/17,0.4,2024/5/25,1,不定期,"1, 2, 5, 8, 11, 12",34.97
891,中信關鍵半導體,2024,2024/2/27,0.32,2024/3/5,12,不定期,"1, 2, 5, 8, 11, 12",34.97
892,富邦台灣半導體,2024,2024/11/18,0.24,2024/11/24,11,不定期,"1, 2, 5, 8, 11, 12",34.97
892,富邦台灣半導體,2024,2024/7/16,0.145,2024/7/22,5,不定期,"1, 2, 5, 8, 11, 12",34.97
894,中信小資高價30,2024,2024/11/18,0.6,2024/11/24,2,不定期,"1, 2, 5, 8, 11, 12",18.22
894,中信小資高價30,2024,2024/8/16,0.7,2024/8/24,8,不定期,"1, 2, 5, 8, 11, 12",18.22
894,中信小資高價30,2024,2024/5/17,0.1,2024/5/25,11,季配息,"2, 5, 8, 11",18.22
894,中信小資高價30,2024,2024/2/27,0.1,2024/3/5,8,季配息,"2, 5, 8, 11",18.22
896,中信綠能及電動車,2024,2024/12/17,0.45,2024/12/23,5,季配息,"2, 5, 8, 11",17.63
896,中信綠能及電動車,2024,2024/9/18,0.27,2024/9/24,2,季配息,"2, 5, 8, 11",17.63
896,中信綠能及電動車,2024,2024/6/19,0.45,2024/6/25,11,半年配,"7, 11",20.17
896,中信綠能及電動車,2024,2024/3/18,0.34,2024/3/24,7,半年配,"7, 11",20.17
900,富邦特選高股息30,2024,2025/1/17,0.1,2025/1/25,11,季配息,"2, 5, 8, 11",20.17
900,富邦特選高股息30,2024,2024/12/17,0.1,2024/12/23,8,季配息,"2, 5, 8, 11",20.17
900,富邦特選高股息30,2024,2024/11/18,0.1,2024/11/24,5,季配息,"2, 5, 8, 11",17.21
900,富邦特選高股息30,2024,2024/8/16,0.792,2024/8/24,2,季配息,"2, 5, 8, 11",17.21
900,富邦特選高股息30,2024,2024/5/17,0.1,2024/5/25,12,季配息,"3, 6, 9, 12",17.21
900,富邦特選高股息30,2024,2024/2/27,0.12,2024/3/5,9,季配息,"3, 6, 9, 12",17.21
901,永豐智能車供應鏈,2024,2024/11/26,0.9,2024/12/2,6,季配息,"3, 6, 9, 12",14.24
904,新光臺灣半導體30,2024,2025/1/21,0.15,2025/1/27,3,季配息,"3, 6, 9, 12",14.24
904,新光臺灣半導體30,2024,2024/10/21,0.15,2024/10/27,1,不定期,"1, 2, 5, 8, 11, 12",14.24
904,新光臺灣半導體30,2024,2024/7/18,0.1,2024/7/24,12,不定期,"1, 2, 5, 8, 11, 12",14.24
904,新光臺灣半導體30,2024,2024/4/22,0.05,2024/4/28,11,不定期,"1, 2, 5, 8, 11, 12",14.24
905,FT臺灣SMART,2024,2024/10/22,0.32,2024/10/28,8,不定期,"1, 2, 5, 8, 11, 12",14.24
905,FT臺灣SMART,2024,2024/7/16,0.37,2024/7/22,5,不定期,"1, 2, 5, 8, 11, 12",20.47
905,FT臺灣SMART,2024,2024/4/18,0.21,2024/4/26,2,不定期,"1, 2, 5, 8, 11, 12",18.61
907,永豐優息存股,2024,2024/12/24,0.22,2024/12/30,11,一年配,11,18.61
907,永豐優息存股,2024,2024/10/24,0.28,2024/10/30,1,季配息,"1, 4, 7, 10",18.61
907,永豐優息存股,2024,2024/8/23,0.33,2024/8/31,10,季配息,"1, 4, 7, 10",18.61
907,永豐優息存股,2024,2024/6/25,0.33,2024/7/1,7,季配息,"1, 4, 7, 10",13.89
907,永豐優息存股,2024,2024/4/22,0.141,2024/4/28,4,季配息,"1, 4, 7, 10",13.89
907,永豐優息存股,2024,2024/2/26,0.141,2024/3/4,10,不定期,"4, 7, 10",13.89
908,富邦入息REITs+,2024,2025/1/17,0.138,2025/1/25,7,不定期,"4, 7, 10",16.04
908,富邦入息REITs+,2024,2024/10/17,0.133,2024/10/23,4,不定期,"4, 7, 10",16.04
908,富邦入息REITs+,2024,2024/7/16,0.245,2024/7/22,12,不定期,"2, 4, 6, 8, 10, 12",16.04
908,富邦入息REITs+,2024,2024/4/18,0.144,2024/4/24,10,不定期,"2, 4, 6, 8, 10, 12",16.04
909,國泰數位支付服務,2024,2024/4/18,1.81,2024/4/26,8,不定期,"2, 4, 6, 8, 10, 12",16.04
911,兆豐洲際半導體,2024,2024/7/17,1.2,2024/7/23,6,不定期,"2, 4, 6, 8, 10, 12",16.04
912,中信臺灣智慧50,2024,2025/1/17,0.39,2025/1/25,4,不定期,"2, 4, 6, 8, 10, 12",12.75
912,中信臺灣智慧50,2024,2024/10/17,0.66,2024/10/23,2,不定期,"2, 4, 6, 8, 10, 12",12.75
912,中信臺灣智慧50,2024,2024/7/16,0.25,2024/7/22,1,季配息,"1, 4, 7, 10",12.75
912,中信臺灣智慧50,2024,2024/4/18,0.23,2024/4/24,10,季配息,"1, 4, 7, 10",12.75
913,兆豐台灣晶圓製造,2024,2024/8/16,0.66,2024/8/24,7,季配息,"1, 4, 7, 10",29.65
913,兆豐台灣晶圓製造,2024,2024/3/4,0.46,2024/3/10,4,季配息,"1, 4, 7, 10",25.77
915,凱基優選高股息30,2024,2024/12/17,0.75,2024/12/23,4,一年配,4,19.03
915,凱基優選高股息30,2024,2024/9/19,0.82,2024/9/25,7,一年配,7,19.03
915,凱基優選高股息30,2024,2024/6/19,0.72,2024/6/25,1,季配息,"1, 4, 7, 10",19.03
915,凱基優選高股息30,2024,2024/3/18,0.72,2024/3/24,10,季配息,"1, 4, 7, 10",19.03
916,國泰全球品牌50,2024,2024/6/20,0.22,2024/6/26,7,季配息,"1, 4, 7, 10",20.55
917,中信特選金融,2024,2025/1/17,2,2025/1/25,4,季配息,"1, 4, 7, 10",20.55
918,大華優利高填息30,2024,2024/12/19,0.84,2024/12/25,8,半年配,"3, 8",24.79
918,大華優利高填息30,2024,2024/9/19,0.78,2024/9/25,3,半年配,"3, 8",24.79
918,大華優利高填息30,2024,2024/6/19,0.8,2024/6/25,12,季配息,"3, 6, 9, 12",24.79
918,大華優利高填息30,2024,2024/3/18,0.7,2024/3/24,9,季配息,"3, 6, 9, 12",24.79
919,群益台灣精選高息,2024,2024/12/20,0.72,2024/12/28,6,季配息,"3, 6, 9, 12",25.52
919,群益台灣精選高息,2024,2024/9/23,0.72,2024/9/29,3,季配息,"3, 6, 9, 12",22.73
919,群益台灣精選高息,2024,2024/6/24,0.7,2024/6/30,6,一年配,6,23.21
919,群益台灣精選高息,2024,2024/3/18,0.66,2024/3/24,1,一年配,1,23.21
920,富邦ESG綠色電力,2024,2025/1/17,0.206,2025/1/25,12,季配息,"3, 6, 9, 12",23.21
921,兆豐龍頭等權重,2024,2024/12/17,0.32,2024/12/23,9,季配息,"3, 6, 9, 12",23.21
921,兆豐龍頭等權重,2024,2024/9/18,0.6,2024/9/24,6,季配息,"3, 6, 9, 12",23.99
921,兆豐龍頭等權重,2024,2024/6/19,0.58,2024/6/25,3,季配息,"3, 6, 9, 12",23.99
921,兆豐龍頭等權重,2024,2024/3/21,0.3,2024/3/29,12,季配息,"3, 6, 9, 12",23.99
922,國泰台灣領袖50,2024,2024/10/17,1,2024/10/25,9,季配息,"3, 6, 9, 12",23.99
922,國泰台灣領袖50,2024,2024/3/18,0.38,2024/3/24,6,季配息,"3, 6, 9, 12",12.62
